tree,ssw,zul
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TFutTemp PNeg (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),akatukuvula lisango singene,akazukuvula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),utovula lisango singene,uzovula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumPl) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),sitovula emasango singene,sizovula amasango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),sitovula lisango singene,sizovula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TFutTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),nitovula lisango singene,nizovula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (UseV enter_V)))) NoVoc),awuvuli lisango ningene,awuvuli isango ningene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),uvula lisango singene,uvula isango singene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (UseV enter_V)))) NoVoc),uvula lisango ningene,uvula isango ningene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumSg) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseV enter_V)))) NoVoc),uvula lisango ungene,uvula isango ungene
ExtPhrConj (PhrUtt NoPConj (UttS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 open_V2 (DetCN (DetNum NumPl) (UseN gate_N)))))) NoVoc) (PhrUtt NoPConj (SubjunctS (UseCl TPresTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV enter_V)))) NoVoc),sivula emasango singene,sivula amasango singene
